,V1,V2,V3,V4,V6,V7
1,3292.812694,1,21,29,3472.281075,3292.812694
2,3739.013985,0,26,35,3739.013985,3621.730083
3,3436.189102,0,21,23,3436.189102,3252.663109
4,3811.857422,0,26,45,3811.857422,3725.336911
5,3641.254854,0,20,60,3641.254854,3563.551592
6,3264.800541,1,22,23,3484.20998,3264.800541
7,3662.753474,0,26,25,3662.753474,3491.170792
8,4216.05087,0,31,60,4216.05087,4216.973806
9,3803.323711,0,26,44,3803.323711,3729.7616
10,3346.681892,1,21,35,3507.501338,3346.681892
11,3345.115214,0,21,12,3345.115214,3091.745792
12,3514.077149,1,19,60,3596.458647,3514.077149
13,3444.817443,0,22,20,3444.817443,3235.284128
14,4407.058643,0,35,50,4407.058643,4398.140417
15,3596.312113,0,23,36,3596.312113,3454.706857
16,3923.216011,0,29,38,3923.216011,3809.656983
17,3147.164073,1,19,23,3335.603726,3147.164073
18,3885.456914,0,29,32,3885.456914,3750.205713
19,4423.362314,0,34,60,4423.362314,4449.239326
20,3689.395087,0,26,30,3689.395087,3550.739297
21,3680.794416,1,27,37,3806.774491,3680.794416
22,3761.117274,0,24,50,3761.117274,3658.535954
23,3412.22726,1,19,50,3530.643925,3412.22726
24,3263.051331,1,18,40,3422.207435,3263.051331
25,3401.995429,0,16,47,3401.995429,3252.470942
26,3777.937774,0,27,32,3777.937774,3647.584737
27,3923.451269,0,30,29,3923.451269,3775.300377
28,3693.296181,0,27,22,3693.296181,3523.319944
29,4491.414057,0,38,35,4491.414057,4438.575941
30,3728.488402,0,27,27,3728.488402,3580.414795
31,3913.670575,0,30,30,3913.670575,3826.521784
32,3593.633634,0,26,16,3593.633634,3396.298342
33,3518.648275,0,18,55,3518.648275,3415.485106
34,4171.962121,1,35,33,4274.193019,4171.962121
35,3365.428851,0,23,8,3365.428851,3159.961688
36,3421.475857,0,22,19,3421.475857,3233.701516
37,3568.533588,0,23,32,3568.533588,3404.096421
38,3301.056972,1,17,47,3434.05128,3301.056972
39,4290.940188,0,36,28,4290.940188,4211.253324
40,3630.317199,0,26,20,3630.317199,3467.52264
41,3635.692764,0,24,38,3635.692764,3553.946898
42,3915.499896,0,28,43,3915.499896,3811.705391
43,3714.500104,0,26,30,3714.500104,3557.44354
44,3908.668731,0,27,48,3908.668731,3824.292767
45,3397.576758,1,26,15,3593.974101,3397.576758
46,3636.995477,0,24,35,3636.995477,3527.082369
47,3254.281095,0,17,20,3254.281095,3046.998056
48,3667.769029,0,23,48,3667.769029,3637.783324
49,3728.503322,0,25,40,3728.503322,3618.09463
50,4311.094381,0,31,70,4311.094381,4367.935302
51,3732.842949,1,29,30,3847.581711,3732.842949
52,4134.831055,0,33,35,4134.831055,4065.912483
53,3942.085491,0,29,40,3942.085491,3860.613919
54,3655.940034,0,23,43,3655.940034,3558.741593
55,3319.778596,1,19,40,3463.629129,3319.778596
56,3507.829027,0,23,24,3507.829027,3344.772433
57,3669.980146,1,29,24,3821.707825,3669.980146
58,3307.173475,0,18,23,3307.173475,3135.410567
59,3815.853413,1,24,65,3858.52439,3815.853413
60,3521.447484,0,26,10,3521.447484,3345.708724
