"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"1",3083.43998685092,1,21,10,2,15,0,0,0,0,0,0,1,0,0,3343.35038723731,3083.43998685092
"2",3326.75454045678,0,26,14,2,15,0,1,0,0,0,0,1,0,0,3326.75454045678,3169.54732445414
"3",3391.85067053955,0,21,12,1,15,1,0,1,0,0,0,1,0,0,3391.85067053955,3213.74879445549
"4",3342.44394743793,0,26,16,2,15,1,1,0,0,0,0,1,0,0,3342.44394743793,3200.81395099502
"5",3353.76456100609,0,20,12,1,15,1,0,0,0,0,0,1,0,0,3353.76456100609,3176.65477659168
"6",3029.28178586817,1,22,10,1,15,1,1,0,0,0,0,1,0,0,3379.81293530565,3029.28178586817
"7",3353.73854851307,0,26,16,1,15,1,1,0,0,0,0,1,0,0,3353.73854851307,3161.16608863188
"8",2554.25654605793,0,31,16,3,11,1,1,0,0,1,0,1,1,0,2554.25654605793,2719.5681992619
"9",3338.80247462329,0,26,16,1,15,1,1,0,0,0,0,1,0,0,3338.80247462329,3261.75023815937
"10",3090.3479582406,1,21,12,2,14,1,1,0,0,0,0,1,0,0,3321.10421606115,3090.3479582406
"11",3175.98292549902,0,21,13,2,8,0,0,0,0,0,0,1,1,0,3175.98292549902,2854.28924472961
"12",3122.46987578635,1,19,10,1,15,1,0,1,0,0,0,1,0,0,3322.55714317678,3122.46987578635
"13",3349.09756235869,0,22,12,2,15,0,1,0,0,0,0,1,0,0,3349.09756235869,3098.83762356976
"14",3158.55787382071,0,35,17,1,12,1,1,0,0,0,0,1,0,0,3158.55787382071,2940.48719086625
"15",3340.16678989598,0,23,14,2,15,1,1,0,0,0,0,1,0,0,3340.16678989598,3157.16865672351
"16",3281.16964585497,0,29,14,1,15,0,1,0,0,0,0,1,0,0,3281.16964585497,3003.11787689232
"17",3108.17760845966,1,19,11,1,14,0,0,1,0,0,0,1,0,0,3293.72561802625,3108.17760845966
"18",3351.10757768434,0,29,16,1,15,0,1,0,0,0,0,1,0,0,3351.10757768434,3116.48485317357
"19",3251.54780109139,0,34,16,1,15,1,1,0,0,0,0,1,0,0,3251.54780109139,3032.72056170307
"20",2820.86083918442,0,26,17,1,15,0,1,0,0,1,0,1,1,0,2820.86083918442,3035.22325802314
"21",2756.00738646164,1,27,12,1,13,0,1,0,0,1,0,1,0,0,2711.83168707414,2756.00738646164
"22",3410.82218759755,0,24,16,2,15,1,1,0,0,0,0,1,0,0,3410.82218759755,3207.12943321799
"23",3073.49769144305,1,19,12,5,12,0,0,0,0,0,0,1,0,0,3278.63518694291,3073.49769144305
"24",2966.63859373893,1,18,9,2,12,0,1,0,0,0,0,1,3,0,3237.36007409265,2966.63859373893
"25",3013.02903013826,0,16,8,2,15,0,0,0,0,1,0,1,0,0,3013.02903013826,2966.01025980836
"26",3327.87798604995,0,27,14,1,14,0,1,0,0,0,0,1,0,0,3327.87798604995,3128.82818593144
"27",3357.5307091568,0,30,16,1,15,0,1,0,0,0,0,1,0,0,3357.5307091568,3086.85169425845
"28",3365.9295335038,0,27,17,1,15,0,1,0,0,0,0,1,0,0,3365.9295335038,3217.25577212871
"29",3120.26012215466,0,38,14,1,15,1,1,0,0,0,0,1,0,0,3120.26012215466,2885.88286309667
"30",3284.53302981214,0,27,16,1,13,1,1,0,0,0,0,1,0,0,3284.53302981214,3117.63992078689
"31",3250.51758648654,0,30,16,1,14,1,1,0,0,0,0,1,0,0,3250.51758648654,3229.34802844502
"32",3268.93117256504,0,26,14,2,13,0,1,0,0,0,0,1,0,0,3268.93117256504,3052.28353202034
"33",3277.3503416612,0,18,11,5,13,1,0,0,0,0,0,1,0,0,3277.3503416612,3087.40978536572
"34",2855.30113339292,1,35,12,1,15,0,1,0,0,0,0,1,0,0,3230.63834995338,2855.30113339292
"35",3207.79953510016,0,23,13,2,14,0,1,0,0,0,0,1,0,0,3207.79953510016,3098.25782358562
"36",3240.83032678363,0,22,10,2,14,0,0,0,0,0,0,1,0,0,3240.83032678363,3029.93500355197
"37",3209.07087822998,0,23,12,1,11,1,0,0,0,0,0,1,0,0,3209.07087822998,2928.84265358542
"38",3080.15527914241,1,17,9,3,14,1,0,0,0,0,0,1,0,0,3298.48576455352,3080.15527914241
"39",3243.75701443831,0,36,16,2,16,0,1,0,0,0,0,1,1,0,3243.75701443831,3154.52794710578
"40",3375.43707641504,0,26,16,1,15,1,1,0,0,0,0,1,1,0,3375.43707641504,3287.33829411643
"41",3278.97395076047,0,24,16,1,15,0,1,0,0,0,0,1,0,0,3278.97395076047,3297.16883418663
"42",3390.21956454564,0,28,16,2,16,1,1,0,0,0,0,1,0,0,3390.21956454564,3149.40264204417
"43",3461.35040532555,0,26,16,1,17,0,1,0,0,0,0,1,0,0,3461.35040532555,3269.22980530021
"44",3385.37835958399,0,27,14,2,15,1,1,0,0,0,0,1,1,0,3385.37835958399,3139.77570445693
"45",2794.94935727899,1,26,14,8,4,0,0,1,0,0,0,0,1,1,3056.89899367621,2794.94935727899
